Model,Latency [s],GPU Memory (allocated)[MB],GPU Memory (reserved) [MB],CPU Memory (rss) [MB],Accuracy,Params [M]
gpt2::cp::rank1::horizon2::hd5120::bs::1,3.782 ± 0.004,26585.470 ± 0.000,26668.000 ± 0.000,1284.477 ± 0.012,0.000 ± 0.000,6944.24
gpt2::cp::rank1::horizon2::hd768::bs::1,3.748 ± 0.005,25917.437 ± 0.000,26000.000 ± 0.000,1287.641 ± 0.000,0.000 ± 0.000,6769.32
gpt2::cp::rank1::horizon4::hd5120::bs::1,1.947 ± 0.001,26744.530 ± 0.000,26826.000 ± 0.000,1287.965 ± 0.000,0.000 ± 0.000,6986.19
gpt2::cp::rank1::horizon4::hd768::bs::1,1.919 ± 0.002,25940.464 ± 0.000,26022.000 ± 0.000,1288.289 ± 0.000,0.000 ± 0.000,6775.61
gpt2::cp::rank1::horizon8::hd5120::bs::1,1.105 ± 0.004,27057.400 ± 0.000,27068.000 ± 0.000,1288.520 ± 0.000,0.000 ± 0.000,7070.1
gpt2::cp::rank1::horizon8::hd768::bs::1,1.083 ± 0.005,25981.268 ± 0.000,25992.000 ± 0.000,1288.465 ± 0.000,0.000 ± 0.000,6788.2
gpt2::cp::rank1::horizon16::hd5120::bs::1,0.914 ± 0.005,27688.768 ± 0.000,27706.000 ± 0.000,1288.395 ± 0.000,0.000 ± 0.000,7237.91
gpt2::cp::rank1::horizon16::hd768::bs::1,0.899 ± 0.002,26068.502 ± 0.000,26086.000 ± 0.000,1288.598 ± 0.000,0.000 ± 0.000,6813.37
gpt2::cp::rank1::horizon32::hd5120::bs::1,1.159 ± 0.005,28951.502 ± 0.000,28962.000 ± 0.000,1289.102 ± 0.000,0.000 ± 0.000,7573.54
gpt2::cp::rank1::horizon32::hd768::bs::1,1.145 ± 0.002,26242.971 ± 0.000,26252.000 ± 0.000,1289.043 ± 0.000,0.000 ± 0.000,6863.71
gpt2::cp::rank2::horizon2::hd5120::bs::1,3.804 ± 0.004,26745.509 ± 0.000,26826.000 ± 0.000,1289.305 ± 0.000,0.000 ± 0.000,6986.19
gpt2::cp::rank2::horizon2::hd768::bs::1,3.752 ± 0.003,25941.442 ± 0.000,26024.000 ± 0.000,1289.375 ± 0.000,0.000 ± 0.000,6775.61
gpt2::cp::rank2::horizon4::hd5120::bs::1,1.963 ± 0.001,27064.608 ± 0.000,27148.000 ± 0.000,1289.445 ± 0.000,0.000 ± 0.000,7070.1
gpt2::cp::rank2::horizon4::hd768::bs::1,1.922 ± 0.001,25988.476 ± 0.000,26070.000 ± 0.000,1289.449 ± 0.000,0.000 ± 0.000,6788.2
gpt2::cp::rank2::horizon8::hd5120::bs::1,1.115 ± 0.001,27697.557 ± 0.000,27708.000 ± 0.000,1289.250 ± 0.000,0.000 ± 0.000,7237.91
gpt2::cp::rank2::horizon8::hd768::bs::1,1.086 ± 0.003,26077.291 ± 0.000,26088.000 ± 0.000,1289.684 ± 0.000,0.000 ± 0.000,6813.37
gpt2::cp::rank2::horizon16::hd5120::bs::1,0.928 ± 0.001,28969.838 ± 0.000,28986.000 ± 0.000,1289.547 ± 0.000,0.000 ± 0.000,7573.54
gpt2::cp::rank2::horizon16::hd768::bs::1,0.905 ± 0.002,26261.307 ± 0.000,26278.000 ± 0.000,1289.777 ± 0.000,0.000 ± 0.000,6863.71
gpt2::cp::rank2::horizon32::hd5120::bs::1,1.180 ± 0.003,31512.127 ± 0.000,31540.000 ± 0.000,1290.109 ± 0.000,0.000 ± 0.000,8244.79
gpt2::cp::rank2::horizon32::hd768::bs::1,1.156 ± 0.002,26627.064 ± 0.000,26656.000 ± 0.000,1290.945 ± 0.000,0.000 ± 0.000,6964.4
gpt2::cp::rank4::horizon2::hd5120::bs::1,3.839 ± 0.005,27065.587 ± 0.000,27148.000 ± 0.000,1290.391 ± 0.000,0.000 ± 0.000,7070.1
gpt2::cp::rank4::horizon2::hd768::bs::1,3.761 ± 0.005,25989.454 ± 0.000,26072.000 ± 0.000,1290.344 ± 0.000,0.000 ± 0.000,6788.2
gpt2::cp::rank4::horizon4::hd5120::bs::1,1.988 ± 0.002,27704.765 ± 0.000,27788.000 ± 0.000,1290.625 ± 0.000,0.000 ± 0.000,7237.91
gpt2::cp::rank4::horizon4::hd768::bs::1,1.928 ± 0.001,26084.499 ± 0.000,26168.000 ± 0.000,1290.254 ± 0.000,0.000 ± 0.000,6813.37
gpt2::cp::rank4::horizon8::hd5120::bs::1,1.138 ± 0.001,28977.869 ± 0.000,28988.000 ± 0.000,1290.812 ± 0.000,0.000 ± 0.000,7573.54
gpt2::cp::rank4::horizon8::hd768::bs::1,1.091 ± 0.005,26269.338 ± 0.000,26278.000 ± 0.000,1290.594 ± 0.000,0.000 ± 0.000,6863.71
gpt2::cp::rank4::horizon16::hd5120::bs::1,0.957 ± 0.001,31529.705 ± 0.000,31566.000 ± 0.000,1291.094 ± 0.000,0.000 ± 0.000,8244.79
gpt2::cp::rank4::horizon16::hd768::bs::1,0.910 ± 0.002,26644.643 ± 0.000,26682.000 ± 0.000,1290.367 ± 0.000,0.000 ± 0.000,6964.4
gpt2::cp::rank4::horizon32::hd5120::bs::1,1.201 ± 0.010,36633.807 ± 0.000,36672.000 ± 0.000,1293.787 ± 0.081,0.000 ± 0.000,9587.3
gpt2::cp::rank4::horizon32::hd768::bs::1,1.163 ± 0.004,27395.252 ± 0.000,27438.000 ± 0.000,1295.883 ± 0.000,0.000 ± 0.000,7165.77
gpt2::cp::rank8::horizon2::hd5120::bs::1,3.876 ± 0.003,27705.743 ± 0.000,27786.000 ± 0.000,1296.098 ± 0.000,0.000 ± 0.000,7237.91
gpt2::cp::rank8::horizon2::hd768::bs::1,3.764 ± 0.004,26085.478 ± 0.000,26168.000 ± 0.000,1296.266 ± 0.000,0.000 ± 0.000,6813.37
